Date,Country,State,County,Confirmed,Deaths
1/23/2020,China,Anhui,None,8,0
1/23/2020,China,Beijing,None,8,0
1/23/2020,China,Chongqing,None,3,0
1/23/2020,China,Fujian,None,4,0
1/23/2020,China,Gansu,None,2,0
1/23/2020,China,Guangdong,None,6,0
1/23/2020,China,Guangxi,None,3,0
1/23/2020,China,Guizhou,None,2,0
1/23/2020,China,Hainan,None,1,0
1/23/2020,China,Hebei,None,0,1
1/23/2020,China,Heilongjiang,None,2,0
1/23/2020,China,Hong Kong,None,2,0
1/23/2020,China,Hunan,None,5,0
1/23/2020,China,Jiangsu,None,4,0
1/23/2020,China,Jiangxi,None,5,0
1/23/2020,China,Jilin,None,1,0
1/23/2020,China,Liaoning,None,1,0
1/23/2020,China,Macau,None,1,0
1/23/2020,China,Shaanxi,None,3,0
1/23/2020,China,Shandong,None,4,0
1/23/2020,China,Shanghai,None,7,0
1/23/2020,China,Sichuan,None,3,0
1/23/2020,China,Xinjiang,None,2,0
1/23/2020,China,Yunnan,None,1,0
1/23/2020,China,Zhejiang,None,17,0
1/23/2020,Singapore,None,None,1,0
1/23/2020,Thailand,None,None,1,0
1/23/2020,Vietnam,None,None,2,0
1/24/2020,China,Anhui,None,6,0
1/24/2020,China,Beijing,None,14,0
1/24/2020,China,Chongqing,None,18,0
1/24/2020,China,Fujian,None,5,0
1/24/2020,China,Guangdong,None,21,0
1/24/2020,China,Guangxi,None,18,0
1/24/2020,China,Hainan,None,3,0
1/24/2020,China,Hebei,None,1,0
1/24/2020,China,Heilongjiang,None,2,1
1/24/2020,China,Henan,None,4,0
1/24/2020,China,Hubei,None,105,7
1/24/2020,China,Hunan,None,15,0
1/24/2020,China,Inner Mongolia,None,1,0
1/24/2020,China,Jiangsu,None,4,0
1/24/2020,China,Jiangxi,None,11,0
1/24/2020,China,Jilin,None,2,0
1/24/2020,China,Liaoning,None,1,0
1/24/2020,China,Ningxia,None,1,0
1/24/2020,China,Shaanxi,None,2,0
1/24/2020,China,Shandong,None,9,0
1/24/2020,China,Shanghai,None,4,0
1/24/2020,China,Sichuan,None,7,0
1/24/2020,China,Tianjin,None,4,0
1/24/2020,China,Yunnan,None,3,0
1/24/2020,China,Zhejiang,None,16,0
1/24/2020,France,None,None,2,0
1/24/2020,"Korea, South",None,None,1,0
1/24/2020,Singapore,None,None,2,0
1/24/2020,Taiwan*,None,None,2,0
1/24/2020,Thailand,None,None,2,0
1/24/2020,US,Illinois,Cook,1,0
1/25/2020,China,Anhui,None,24,0
1/25/2020,China,Beijing,None,5,0
1/25/2020,China,Chongqing,None,30,0
1/25/2020,China,Fujian,None,8,0
1/25/2020,China,Gansu,None,2,0
1/25/2020,China,Guangdong,None,25,0
1/25/2020,China,Guizhou,None,1,0
1/25/2020,China,Hainan,None,11,0
1/25/2020,China,Hebei,None,6,0
1/25/2020,China,Heilongjiang,None,5,0
