Date,Country,State,County,Confirmed_Cumulative,Deaths_Cumulative,Confirmed,Deaths
1/22/2020,China,Anhui,None,1,0,0,0
1/22/2020,China,Beijing,None,14,0,0,0
1/22/2020,China,Chongqing,None,6,0,0,0
1/22/2020,China,Fujian,None,1,0,0,0
1/22/2020,China,Guangdong,None,26,0,0,0
1/22/2020,China,Guangxi,None,2,0,0,0
1/22/2020,China,Guizhou,None,1,0,0,0
1/22/2020,China,Hainan,None,4,0,0,0
1/22/2020,China,Hebei,None,1,0,0,0
1/22/2020,China,Henan,None,5,0,0,0
1/22/2020,China,Hubei,None,444,17,0,0
1/22/2020,China,Hunan,None,4,0,0,0
1/22/2020,China,Jiangsu,None,1,0,0,0
1/22/2020,China,Jiangxi,None,2,0,0,0
1/22/2020,China,Liaoning,None,2,0,0,0
1/22/2020,China,Macau,None,1,0,0,0
1/22/2020,China,Ningxia,None,1,0,0,0
1/22/2020,China,Shandong,None,2,0,0,0
1/22/2020,China,Shanghai,None,9,0,0,0
1/22/2020,China,Shanxi,None,1,0,0,0
1/22/2020,China,Sichuan,None,5,0,0,0
1/22/2020,China,Tianjin,None,4,0,0,0
1/22/2020,China,Yunnan,None,1,0,0,0
1/22/2020,China,Zhejiang,None,10,0,0,0
1/22/2020,Japan,None,None,2,0,0,0
1/22/2020,"Korea, South",None,None,1,0,0,0
1/22/2020,Taiwan*,None,None,1,0,0,0
1/22/2020,Thailand,None,None,2,0,0,0
1/22/2020,US,Washington,King,1,0,0,0
1/23/2020,China,Anhui,None,9,0,8,0
1/23/2020,China,Beijing,None,22,0,8,0
1/23/2020,China,Chongqing,None,9,0,3,0
1/23/2020,China,Fujian,None,5,0,4,0
1/23/2020,China,Gansu,None,2,0,2,0
1/23/2020,China,Guangdong,None,32,0,6,0
1/23/2020,China,Guangxi,None,5,0,3,0
1/23/2020,China,Guizhou,None,3,0,2,0
1/23/2020,China,Hainan,None,5,0,1,0
1/23/2020,China,Hebei,None,1,1,0,1
1/23/2020,China,Heilongjiang,None,2,0,2,0
1/23/2020,China,Henan,None,5,0,0,0
1/23/2020,China,Hong Kong,None,2,0,2,0
1/23/2020,China,Hubei,None,444,17,0,0
1/23/2020,China,Hunan,None,9,0,5,0
1/23/2020,China,Jiangsu,None,5,0,4,0
1/23/2020,China,Jiangxi,None,7,0,5,0
1/23/2020,China,Jilin,None,1,0,1,0
1/23/2020,China,Liaoning,None,3,0,1,0
1/23/2020,China,Macau,None,2,0,1,0
1/23/2020,China,Ningxia,None,1,0,0,0
1/23/2020,China,Shaanxi,None,3,0,3,0
1/23/2020,China,Shandong,None,6,0,4,0
1/23/2020,China,Shanghai,None,16,0,7,0
1/23/2020,China,Shanxi,None,1,0,0,0
1/23/2020,China,Sichuan,None,8,0,3,0
1/23/2020,China,Tianjin,None,4,0,0,0
1/23/2020,China,Xinjiang,None,2,0,2,0
1/23/2020,China,Yunnan,None,2,0,1,0
1/23/2020,China,Zhejiang,None,27,0,17,0
1/23/2020,Japan,None,None,2,0,0,0
1/23/2020,"Korea, South",None,None,1,0,0,0
1/23/2020,Singapore,None,None,1,0,1,0
1/23/2020,Taiwan*,None,None,1,0,0,0
1/23/2020,Thailand,None,None,3,0,1,0
1/23/2020,US,Washington,King,1,0,0,0
1/23/2020,Vietnam,None,None,2,0,2,0
1/24/2020,China,Anhui,None,15,0,6,0
1/24/2020,China,Beijing,None,36,0,14,0
1/24/2020,China,Chongqing,None,27,0,18,0
1/24/2020,China,Fujian,None,10,0,5,0
1/24/2020,China,Gansu,None,2,0,0,0
1/24/2020,China,Guangdong,None,53,0,21,0
1/24/2020,China,Guangxi,None,23,0,18,0
1/24/2020,China,Guizhou,None,3,0,0,0
1/24/2020,China,Hainan,None,8,0,3,0
1/24/2020,China,Hebei,None,2,1,1,0
1/24/2020,China,Heilongjiang,None,4,1,2,1
1/24/2020,China,Henan,None,9,0,4,0
1/24/2020,China,Hong Kong,None,2,0,0,0
1/24/2020,China,Hubei,None,549,24,105,7
